index,train,val,test
117,TCGA-TQ-A7RQ,,
118,TCGA-S9-A6WE,,
119,TCGA-TM-A84L,,
120,TCGA-06-5411,,
121,TCGA-W9-A837,,
122,TCGA-DB-A64Q,,
123,TCGA-06-0743,,
124,TCGA-FG-8187,,
125,TCGA-06-0125,,
126,TCGA-CS-6665,,
127,TCGA-S9-A6TY,,
128,TCGA-QH-A6X3,,
129,TCGA-QH-A6CU,,
130,TCGA-DU-6542,,
131,TCGA-FG-7638,,
132,TCGA-S9-A6WG,,
133,TCGA-HT-7616,,
134,TCGA-S9-A89V,,
135,TCGA-06-0174,,
136,TCGA-HT-7620,,
137,TCGA-HT-7858,,
138,TCGA-FG-5964,,
139,TCGA-HT-7480,,
140,TCGA-FG-A4MT,,
141,TCGA-HT-7474,,
142,TCGA-HT-7677,,
143,TCGA-S9-A7IZ,,
144,TCGA-HT-7469,,
145,TCGA-RY-A840,,
146,TCGA-HT-8012,,
147,TCGA-DB-A75P,,
148,TCGA-VM-A8C8,,
149,TCGA-DH-A7UU,,
150,TCGA-RY-A83Y,,
151,TCGA-S9-A7R3,,
152,TCGA-HT-7881,,
153,TCGA-06-0211,,
154,TCGA-06-0187,,
155,TCGA-12-0821,,
156,TCGA-HT-7690,,
157,TCGA-27-2528,,
158,TCGA-06-0646,,
159,TCGA-S9-A6U8,,
160,TCGA-DU-6405,,
161,TCGA-FG-A70Y,,
162,TCGA-HT-7854,,
163,TCGA-S9-A7R1,,
164,TCGA-DB-5270,,
165,TCGA-HT-7478,,
166,TCGA-14-0789,,
167,TCGA-DH-A66G,,
168,TCGA-QH-A6CW,,
169,TCGA-DH-5143,,
170,TCGA-DU-8162,,
171,TCGA-FG-7636,,
172,TCGA-14-1823,,
173,TCGA-TQ-A7RR,,
174,TCGA-12-3650,,
175,TCGA-HT-8563,,
176,TCGA-FG-A6J3,,
177,TCGA-DU-7012,,
178,TCGA-DU-8161,,
179,TCGA-06-5859,,
180,TCGA-HT-A74K,,
181,TCGA-HT-8114,,
182,TCGA-HT-7606,,
183,TCGA-QH-A6XC,,
184,TCGA-DB-5279,,
185,TCGA-27-1835,,
186,TCGA-KT-A7W1,,
187,TCGA-06-5414,,
188,TCGA-HT-7684,,
189,TCGA-12-3652,,
190,TCGA-FG-A4MY,,
191,TCGA-TQ-A7RV,,
192,TCGA-HT-7882,,
193,TCGA-HT-8015,,
194,TCGA-KT-A74X,,
195,TCGA-FG-6688,,
196,TCGA-06-0747,,
197,TCGA-S9-A7QW,,
198,TCGA-QH-A65S,,
199,TCGA-S9-A7R2,,
200,TCGA-HT-7686,,
201,TCGA-DU-6395,,
202,TCGA-HT-7611,,
203,TCGA-26-1442,,
204,TCGA-DB-A4XB,,
205,TCGA-HT-7873,,
206,TCGA-S9-A6TW,,
207,TCGA-DU-7019,,
208,TCGA-HT-8105,,
209,TCGA-HT-7473,,
210,TCGA-TM-A84B,,
211,TCGA-06-0749,,
212,TCGA-06-5858,,
213,TCGA-06-0152,,
214,TCGA-TM-A84C,,
215,TCGA-HT-8109,,
216,TCGA-S9-A7IX,,
217,TCGA-FG-A6IZ,,
218,TCGA-S9-A6TZ,,
219,TCGA-CS-6670,,
220,TCGA-DH-5140,,
221,TCGA-DB-A4XA,,
222,TCGA-CS-6668,,
223,TCGA-HT-7482,,
224,TCGA-DU-5853,,
225,TCGA-TQ-A7RI,,
226,TCGA-HW-8320,,
227,TCGA-S9-A7R7,,
228,TCGA-DU-7298,,
229,TCGA-FG-7641,,
230,TCGA-HT-8108,,
231,TCGA-VV-A86M,,
232,TCGA-HT-A61B,,
233,TCGA-HT-A5R9,,
234,TCGA-S9-A7IS,,
235,TCGA-DB-5276,,
236,TCGA-TM-A7CF,,
237,TCGA-DB-A75O,,
238,TCGA-FG-8186,,
239,TCGA-DU-7011,,
240,TCGA-HT-A5R5,,
241,TCGA-DB-A75L,,
242,TCGA-06-0129,,
243,TCGA-DU-8165,,
244,TCGA-DB-5277,,
245,TCGA-IK-8125,,
246,TCGA-06-5416,,
247,TCGA-HT-7902,,
248,TCGA-TM-A84Q,,
249,TCGA-FG-8181,,
250,TCGA-26-5139,,
251,TCGA-HT-A74H,,
252,TCGA-DB-A64S,,
253,TCGA-S9-A7QY,,
254,TCGA-WH-A86K,,
255,TCGA-06-5418,,
256,TCGA-DH-5141,,
257,TCGA-QH-A6X5,,
258,TCGA-DU-7302,,
259,TCGA-FG-5962,,
260,TCGA-QH-A870,,
261,TCGA-06-5408,,
262,TCGA-DH-5142,,
263,TCGA-S9-A6WM,,
264,TCGA-HT-8107,,
265,TCGA-CS-4938,,
266,TCGA-S9-A6U5,,
267,TCGA-12-3653,,
268,TCGA-TM-A84S,,
269,TCGA-RY-A847,,
270,TCGA-TQ-A7RW,,
271,TCGA-QH-A65Z,,
272,TCGA-FG-A713,,
273,TCGA-DU-7010,,
274,TCGA-DH-A66B,,
275,TCGA-06-0882,,
276,TCGA-DU-6408,,
277,TCGA-DB-A4XC,,
278,TCGA-27-1831,,
279,TCGA-DU-7294,,
280,TCGA-HT-7855,,
281,TCGA-DB-A4XF,,
282,TCGA-DB-A64P,,
283,TCGA-HT-A614,,
284,TCGA-DB-A75K,,
285,TCGA-DU-7309,,
286,TCGA-HT-7475,,
287,TCGA-DU-8167,,
288,TCGA-S9-A6TX,,
289,TCGA-S9-A6TV,,
290,TCGA-S9-A7QZ,,
291,TCGA-HT-7688,,
292,TCGA-06-0157,,
293,TCGA-FG-A60J,,
294,TCGA-HT-A616,,
295,TCGA-DU-5872,,
296,TCGA-HT-8013,,
297,TCGA-27-2519,,
298,TCGA-27-2524,,
299,TCGA-DB-A4X9,,
300,TCGA-CS-6188,,
301,TCGA-HT-7874,,
302,TCGA-VM-A8CA,,
303,TCGA-TM-A84G,,
304,TCGA-06-5856,,
305,TCGA-S9-A7IQ,,
306,TCGA-TQ-A7RP,,
307,TCGA-DU-6410,,
308,TCGA-S9-A6WL,,
309,TCGA-27-1830,,
310,TCGA-DB-A4XD,,
311,TCGA-HT-A618,,
312,TCGA-06-0221,,
313,TCGA-14-0787,,
314,TCGA-TQ-A8XE,,
315,TCGA-HT-7610,,
316,TCGA-RY-A843,,
317,TCGA-VM-A8CD,,
318,TCGA-12-0616,,
319,TCGA-DB-5273,,
320,TCGA-S9-A6UA,,
321,TCGA-CS-6666,,
322,TCGA-27-2523,,
323,TCGA-FG-8182,,
324,TCGA-IK-7675,,
325,TCGA-06-0219,,
326,TCGA-DH-5144,,
327,TCGA-27-1837,,
328,TCGA-26-5133,,
329,TCGA-S9-A6WN,,
330,TCGA-FG-7643,,
331,TCGA-TQ-A7RK,,
332,TCGA-FG-8191,,
333,TCGA-RY-A845,,
334,TCGA-06-0184,,
335,TCGA-06-0158,,
336,TCGA-DU-6407,,
337,TCGA-DU-6402,,
338,TCGA-FG-A4MW,,
339,TCGA-HT-7695,,
340,TCGA-DU-7299,,
341,TCGA-VM-A8CE,,
342,TCGA-06-5412,,
343,TCGA-06-0686,,
344,TCGA-HT-8106,,
345,TCGA-HT-7856,,
346,TCGA-HT-7470,,
347,TCGA-27-2526,,
348,TCGA-HT-8010,,
349,TCGA-41-2572,,
350,TCGA-HW-7489,,
351,TCGA-WY-A858,,
352,TCGA-R8-A6ML,,
353,TCGA-HT-7476,,
354,TCGA-QH-A65R,,
355,TCGA-HT-7880,,
356,TCGA-S9-A6UB,,
357,TCGA-HT-8011,,
358,TCGA-WY-A85D,,
359,TCGA-DU-6397,,
360,TCGA-TM-A84J,,
361,TCGA-DH-A7UT,,
362,TCGA-F6-A8O4,,
363,TCGA-HT-A615,,
364,TCGA-WY-A85A,,
365,TCGA-26-5134,,
366,TCGA-QH-A65V,,
367,TCGA-HT-7485,,
368,TCGA-HT-7602,,
369,TCGA-HW-7491,,
370,TCGA-S9-A6WO,,
371,TCGA-06-5415,,
372,TCGA-S9-A6TU,,
373,TCGA-14-0817,,
374,TCGA-QH-A6CY,,
375,TCGA-HT-7687,,
376,TCGA-27-2521,,
377,TCGA-06-0745,,
378,TCGA-DU-5851,,
379,TCGA-DU-6396,,
380,TCGA-FG-8185,,
381,TCGA-HT-7605,,
382,TCGA-S9-A7J1,,
383,TCGA-27-1832,,
384,TCGA-S9-A6WD,,
