index,train,val,test
172,TCGA-E2-A1L8,,
173,TCGA-A8-A09X,,
174,TCGA-B6-A0IC,,
175,TCGA-AO-A12G,,
176,TCGA-BH-A0W4,,
177,TCGA-BH-A0BP,,
178,TCGA-AR-A5QP,,
179,TCGA-A7-A3RF,,
180,TCGA-LL-A9Q3,,
181,TCGA-E2-A159,,
182,TCGA-BH-A0W3,,
183,TCGA-AN-A03Y,,
184,TCGA-A2-A0CT,,
185,TCGA-AO-A0JI,,
186,TCGA-A8-A07Z,,
187,TCGA-AR-A1AW,,
188,TCGA-A1-A0SN,,
189,TCGA-D8-A1JE,,
190,TCGA-BH-A1F0,,
191,TCGA-A2-A1G6,,
192,TCGA-C8-A26V,,
193,TCGA-D8-A27V,,
194,TCGA-AN-A0FL,,
195,TCGA-E2-A15R,,
196,TCGA-EW-A1PE,,
197,TCGA-A2-A0CR,,
198,TCGA-E9-A6HE,,
199,TCGA-BH-A18M,,
200,TCGA-GM-A2D9,,
201,TCGA-A2-A0ER,,
202,TCGA-E2-A1L7,,
203,TCGA-AC-A23C,,
204,TCGA-AQ-A7U7,,
205,TCGA-E9-A1R0,,
206,TCGA-E9-A1RC,,
207,TCGA-C8-A27B,,
208,TCGA-OL-A5RU,,
209,TCGA-AR-A0TZ,,
210,TCGA-A2-A1FX,,
211,TCGA-E2-A14X,,
212,TCGA-E2-A15P,,
213,TCGA-BH-A42V,,
214,TCGA-E9-A5FK,,
215,TCGA-C8-A12P,,
216,TCGA-C8-A1HJ,,
217,TCGA-AR-A250,,
218,TCGA-AR-A24X,,
219,TCGA-E2-A14R,,
220,TCGA-D8-A145,,
221,TCGA-B6-A1KC,,
222,TCGA-OK-A5Q2,,
223,TCGA-E9-A1R5,,
224,TCGA-A8-A093,,
225,TCGA-BH-A0B6,,
226,TCGA-BH-A18T,,
227,TCGA-AO-A1KP,,
228,TCGA-D8-A147,,
229,TCGA-BH-A0BO,,
230,TCGA-EW-A1J6,,
231,TCGA-AR-A2LM,,
232,TCGA-A8-A06R,,
233,TCGA-A8-A097,,
234,TCGA-E2-A1IG,,
235,TCGA-BH-A0C1,,
236,TCGA-A8-A09D,,
237,TCGA-AR-A24R,,
238,TCGA-D8-A1JP,,
239,TCGA-BH-A0EA,,
240,TCGA-A2-A3XV,,
241,TCGA-BH-A0HQ,,
242,TCGA-A8-A08T,,
243,TCGA-E9-A228,,
244,TCGA-B6-A0IA,,
245,TCGA-D8-A1XZ,,
246,TCGA-AC-A5EH,,
247,TCGA-AC-A62Y,,
248,TCGA-AO-A125,,
249,TCGA-A7-A0CE,,
250,TCGA-E9-A54Y,,
251,TCGA-B6-A0RL,,
252,TCGA-PE-A5DD,,
253,TCGA-BH-A0H3,,
254,TCGA-D8-A1JH,,
255,TCGA-AO-A03P,,
256,TCGA-BH-A0BQ,,
257,TCGA-AC-A2B8,,
258,TCGA-A2-A0ST,,
259,TCGA-E2-A15H,,
260,TCGA-AC-A2BM,,
261,TCGA-LL-A5YM,,
262,TCGA-B6-A0IB,,
263,TCGA-BH-A0AV,,
264,TCGA-PL-A8LY,,
265,TCGA-D8-A73X,,
266,TCGA-E2-A1IH,,
267,TCGA-BH-A0BV,,
268,TCGA-D8-A146,,
269,TCGA-BH-A0AY,,
270,TCGA-A8-A08J,,
271,TCGA-E9-A1R7,,
272,TCGA-A2-A0YK,,
273,TCGA-3C-AALI,,
274,TCGA-AC-A2BK,,
275,TCGA-A2-A0YI,,
276,TCGA-A7-A26J,,
277,TCGA-D8-A1XF,,
278,TCGA-BH-A0BF,,
279,TCGA-E2-A1B6,,
280,TCGA-BH-A0BL,,
281,TCGA-BH-A0C7,,
282,TCGA-BH-A0HB,,
283,TCGA-A8-A07J,,
284,TCGA-AR-A2LK,,
285,TCGA-C8-A1HL,,
286,TCGA-A2-A0EV,,
287,TCGA-AO-A12B,,
288,TCGA-AO-A03L,,
289,TCGA-BH-A1F6,,
290,TCGA-E2-A1IN,,
291,TCGA-BH-A0E1,,
292,TCGA-A2-A0CU,,
293,TCGA-D8-A1J9,,
294,TCGA-A8-A06U,,
295,TCGA-B6-A0WX,,
296,TCGA-AC-A2FO,,
297,TCGA-D8-A13Z,,
298,TCGA-BH-A2L8,,
299,TCGA-BH-A0HW,,
300,TCGA-AR-A0TX,,
301,TCGA-C8-A274,,
302,TCGA-D8-A1JF,,
303,TCGA-A7-A0DB,,
304,TCGA-C8-A138,,
305,TCGA-A8-A09M,,
306,TCGA-AR-A1AJ,,
307,TCGA-E2-A14V,,
308,TCGA-5T-A9QA,,
309,TCGA-E2-A154,,
310,TCGA-A2-A25D,,
311,TCGA-A2-A0SU,,
312,TCGA-GM-A2DH,,
313,TCGA-A8-A06Z,,
314,TCGA-D8-A1JM,,
315,TCGA-E9-A1RF,,
316,TCGA-A2-A4S3,,
317,TCGA-E9-A227,,
318,TCGA-EW-A1P4,,
319,TCGA-E2-A15I,,
320,TCGA-D8-A142,,
321,TCGA-AC-A8OP,,
322,TCGA-A8-A06X,,
323,TCGA-S3-AA10,,
324,TCGA-PL-A8LX,,
325,TCGA-AR-A5QQ,,
326,TCGA-BH-A1FU,,
327,TCGA-E2-A1LK,,
328,TCGA-AN-A0XS,,
329,TCGA-E9-A1RD,,
330,TCGA-A8-A09I,,
331,TCGA-A7-A4SD,,
332,TCGA-E2-A2P6,,
333,TCGA-LD-A7W6,,
334,TCGA-D8-A1Y1,,
335,TCGA-EW-A1PH,,
336,TCGA-BH-A0H7,,
337,TCGA-A2-A0SY,,
338,TCGA-EW-A1P7,,
339,TCGA-BH-A0BJ,,
340,TCGA-A2-A0CW,,
341,TCGA-C8-A1HG,,
342,TCGA-AQ-A0Y5,,
343,TCGA-A2-A0T7,,
344,TCGA-E9-A247,,
345,TCGA-AC-A6NO,,
346,TCGA-A2-A0ES,,
347,TCGA-AR-A24V,,
348,TCGA-E2-A576,,
349,TCGA-BH-A1EU,,
350,TCGA-D8-A141,,
351,TCGA-A2-A3XW,,
352,TCGA-E2-A1L6,,
353,TCGA-A8-A0AB,,
354,TCGA-EW-A6SC,,
355,TCGA-E2-A107,,
356,TCGA-A8-A084,,
357,TCGA-A2-A0YD,,
358,TCGA-EW-A2FR,,
359,TCGA-AC-A6IV,,
360,TCGA-AN-A0XU,,
361,TCGA-B6-A0RQ,,
362,TCGA-S3-AA12,,
363,TCGA-E9-A249,,
364,TCGA-AR-A1AL,,
365,TCGA-D8-A27N,,
366,TCGA-D8-A1JG,,
367,TCGA-BH-A5J0,,
368,TCGA-D8-A1Y2,,
369,TCGA-BH-A0E0,,
370,TCGA-BH-A0EI,,
371,TCGA-S3-AA12,,
372,TCGA-BH-A28Q,,
373,TCGA-B6-A0RV,,
374,TCGA-AR-A24L,,
375,TCGA-A2-A0T6,,
376,TCGA-S3-AA11,,
377,TCGA-WT-AB44,,
378,TCGA-E9-A1RI,,
379,TCGA-D8-A1JT,,
380,TCGA-A2-A1FW,,
381,TCGA-OL-A5RZ,,
382,TCGA-BH-A1F8,,
383,TCGA-A2-A0T2,,
384,TCGA-EW-A1P3,,
385,TCGA-D8-A140,,
386,TCGA-E2-A15G,,
387,TCGA-B6-A0IM,,
388,TCGA-C8-A1HK,,
389,TCGA-C8-A26Y,,
390,TCGA-S3-AA14,,
391,TCGA-E9-A1R4,,
392,TCGA-AC-A5XU,,
393,TCGA-BH-A0W7,,
394,TCGA-BH-A0BD,,
395,TCGA-EW-A1IX,,
396,TCGA-GM-A2DB,,
397,TCGA-BH-A0DO,,
398,TCGA-LL-A5YL,,
399,TCGA-D8-A1X7,,
400,TCGA-B6-A0IO,,
401,TCGA-E2-A1IO,,
402,TCGA-A2-A25E,,
403,TCGA-A2-A0EQ,,
404,TCGA-D8-A27H,,
405,TCGA-OL-A5RY,,
406,TCGA-B6-A0RO,,
407,TCGA-A7-A56D,,
408,TCGA-E2-A14Y,,
409,TCGA-AO-A0J2,,
410,TCGA-B6-A0IQ,,
411,TCGA-A8-A06O,,
412,TCGA-D8-A73W,,
413,TCGA-E9-A1RE,,
414,TCGA-AN-A046,,
415,TCGA-A2-A04Y,,
416,TCGA-OL-A66I,,
417,TCGA-E2-A155,,
418,TCGA-D8-A1X5,,
419,TCGA-E9-A22E,,
420,TCGA-D8-A27P,,
421,TCGA-A2-A04T,,
422,TCGA-BH-A18P,,
423,TCGA-C8-A1HN,,
424,TCGA-D8-A1JL,,
425,TCGA-BH-A18R,,
426,TCGA-A8-A07E,,
427,TCGA-A7-A0D9,,
428,TCGA-A1-A0SD,,
429,TCGA-D8-A27T,,
430,TCGA-AR-A5QM,,
431,TCGA-E2-A158,,
432,TCGA-A8-A09T,,
433,TCGA-D8-A1JC,,
434,TCGA-EW-A1J2,,
435,TCGA-E2-A1LL,,
436,TCGA-AO-A124,,
437,TCGA-A1-A0SM,,
438,TCGA-AR-A256,,
439,TCGA-A7-A6VV,,
440,TCGA-OL-A6VO,,
441,TCGA-EW-A423,,
442,TCGA-AN-A0FX,,
443,TCGA-A8-A09W,,
444,TCGA-E9-A1R3,,
445,TCGA-C8-A1HM,,
446,TCGA-GM-A2DI,,
447,TCGA-AN-A0AR,,
448,TCGA-AN-A0AK,,
449,TCGA-AO-A03T,,
450,TCGA-A8-A076,,
451,TCGA-BH-A0AZ,,
452,TCGA-W8-A86G,,
453,TCGA-S3-AA17,,
454,TCGA-E2-A14O,,
455,TCGA-LD-A66U,,
456,TCGA-AQ-A04J,,
457,TCGA-C8-A275,,
458,TCGA-BH-A0EB,,
459,TCGA-D8-A27G,,
460,TCGA-D8-A1X6,,
461,TCGA-A2-A0YE,,
462,TCGA-D8-A1XY,,
463,TCGA-LL-A440,,
464,TCGA-AC-A62V,,
465,TCGA-GM-A2DL,,
466,TCGA-A8-A0A1,,
467,TCGA-BH-A0DI,,
468,TCGA-A2-A0T1,,
469,TCGA-OL-A66P,,
470,TCGA-A7-A6VV,,
471,TCGA-EW-A1PA,,
472,TCGA-AN-A0XL,,
473,TCGA-D8-A1X5,,
474,TCGA-A7-A0DA,,
475,TCGA-B6-A1KF,,
476,TCGA-AN-A0AJ,,
477,TCGA-E2-A152,,
478,TCGA-C8-A8HP,,
479,TCGA-AC-A3QP,,
480,TCGA-AN-A0XW,,
481,TCGA-E2-A1IF,,
482,TCGA-D8-A1XV,,
483,TCGA-AC-A7VC,,
484,TCGA-LL-A8F5,,
485,TCGA-D8-A27L,,
486,TCGA-A7-A13F,,
487,TCGA-E9-A1R6,,
488,TCGA-E2-A15C,,
489,TCGA-E2-A1B5,,
490,TCGA-D8-A143,,
491,TCGA-A2-A0EX,,
492,TCGA-BH-A18J,,
493,TCGA-BH-A5IZ,,
494,TCGA-E9-A1N9,,
495,TCGA-C8-A135,,
496,TCGA-E2-A15F,,
497,TCGA-E2-A9RU,,
498,TCGA-AR-A0TV,,
499,TCGA-A7-A6VX,,
500,TCGA-AN-A0XO,,
501,TCGA-E9-A22A,,
502,TCGA-D8-A13Y,,
503,TCGA-E9-A1RH,,
504,TCGA-AO-A12A,,
505,TCGA-D8-A1J9,,
506,TCGA-A8-A08F,,
507,TCGA-AO-A0JF,,
508,TCGA-A8-A07P,,
509,TCGA-A1-A0SB,,
510,TCGA-D8-A1JB,,
511,TCGA-S3-AA15,,
512,TCGA-E2-A1LA,,
513,TCGA-AR-A2LQ,,
514,TCGA-BH-A0BA,,
515,TCGA-A8-A07I,,
516,TCGA-D8-A1Y3,,
517,TCGA-A2-A3Y0,,
518,TCGA-EW-A1P0,,
519,TCGA-E2-A15E,,
520,TCGA-PE-A5DE,,
521,TCGA-AR-A1AV,,
522,TCGA-A8-A08S,,
523,TCGA-BH-A18L,,
524,TCGA-AO-A0JG,,
525,TCGA-BH-A0DS,,
526,TCGA-BH-A18Q,,
527,TCGA-E2-A1IE,,
528,TCGA-AR-A0TT,,
529,TCGA-D8-A1Y2,,
530,TCGA-3C-AALI,,
531,TCGA-A2-A0SW,,
532,TCGA-A8-A095,,
533,TCGA-BH-A0HA,,
534,TCGA-D8-A27I,,
535,TCGA-E2-A150,,
536,TCGA-C8-A1HO,,
537,TCGA-AC-A3YJ,,
538,TCGA-BH-A1F2,,
539,TCGA-A8-A099,,
540,TCGA-BH-A18H,,
541,TCGA-PL-A8LX,,
542,TCGA-AN-A0AS,,
543,TCGA-B6-A0RU,,
544,TCGA-A2-A0YT,,
545,TCGA-E9-A1R2,,
546,TCGA-AO-A0J9,,
547,TCGA-A7-A26I,,
548,TCGA-D8-A1XW,,
549,TCGA-AR-A24U,,
550,TCGA-A8-A08G,,
551,TCGA-GM-A2DC,,
552,TCGA-C8-A12W,,
553,TCGA-AR-A5QN,,
554,TCGA-BH-A204,,
555,TCGA-E9-A295,,
556,TCGA-B6-A1KN,,
557,TCGA-AC-A23E,,
558,TCGA-AR-A0U3,,
559,TCGA-C8-A12X,,
560,TCGA-A8-A09E,,
561,TCGA-E2-A570,,
562,TCGA-A1-A0SJ,,
563,TCGA-BH-A0H5,,
564,TCGA-A8-A0A7,,
565,TCGA-AN-A0FW,,
566,TCGA-A7-A0CG,,
567,TCGA-B6-A0IG,,
568,TCGA-E9-A1QZ,,
569,TCGA-A8-A075,,
570,TCGA-AN-A0FS,,
571,TCGA-AO-A0J6,,
572,TCGA-BH-A0B4,,
573,TCGA-AR-A24H,,
574,TCGA-D8-A27F,,
575,TCGA-BH-A18N,,
576,TCGA-AO-A12D,,
577,TCGA-B6-A0IP,,
578,TCGA-E9-A3X8,,
579,TCGA-AO-A0JJ,,
580,TCGA-EW-A2FW,,
581,TCGA-D8-A1JD,,
582,TCGA-AC-A8OQ,,
583,TCGA-A8-A08P,,
584,TCGA-E2-A1L9,,
585,TCGA-AO-A03U,,
586,TCGA-A8-A079,,
587,TCGA-LL-A740,,
588,TCGA-A7-A6VW,,
589,TCGA-C8-A1HF,,
590,TCGA-AO-A12H,,
591,TCGA-AC-A23H,,
592,TCGA-C8-A3M7,,
593,TCGA-B6-A0I9,,
594,TCGA-3C-AALJ,,
595,TCGA-AC-A62X,,
596,TCGA-B6-A0IN,,
597,TCGA-A2-A0SV,,
598,TCGA-AR-A24Z,,
599,TCGA-A2-A3KD,,
600,TCGA-BH-A1FC,,
601,TCGA-BH-A0HP,,
602,TCGA-A7-A13E,,
603,TCGA-GM-A3XL,,
604,TCGA-B6-A0X4,,
605,TCGA-BH-A1EX,,
606,TCGA-C8-A26Z,,
607,TCGA-D8-A1JK,,
608,TCGA-A8-A09V,,
609,TCGA-C8-A130,,
610,TCGA-AR-A0TS,,
611,TCGA-D8-A1JN,,
612,TCGA-A1-A0SF,,
613,TCGA-AR-A0TP,,
614,TCGA-A1-A0SH,,
615,TCGA-BH-A0AW,,
616,TCGA-A8-A082,,
617,TCGA-A2-A0EP,,
618,TCGA-EW-A1P8,,
619,TCGA-AO-A1KT,,
620,TCGA-A2-A0D3,,
621,TCGA-D8-A1JJ,,
622,TCGA-AR-A24N,,
623,TCGA-BH-A18G,,
624,TCGA-S3-A6ZG,,
625,TCGA-A8-A08A,,
626,TCGA-A2-A3XU,,
627,TCGA-E2-A573,,
628,TCGA-A7-A2KD,,
629,TCGA-AO-A0J8,,
630,TCGA-E2-A14W,,
631,TCGA-C8-A12Z,,
632,TCGA-AC-A3YI,,
633,TCGA-A2-A1FZ,,
634,TCGA-B6-A0RH,,
635,TCGA-BH-A0GY,,
636,TCGA-LL-A5YN,,
637,TCGA-AC-A2QH,,
638,TCGA-BH-A1EW,,
639,TCGA-A2-A25C,,
640,TCGA-HN-A2NL,,
641,TCGA-A2-A0T0,,
642,TCGA-BH-A202,,
643,TCGA-AO-A0J5,,
644,TCGA-E2-A15T,,
645,TCGA-D8-A1XK,,
646,TCGA-GM-A2DF,,
647,TCGA-BH-A0E7,,
648,TCGA-A2-A04N,,
649,TCGA-D8-A1XY,,
650,TCGA-C8-A27A,,
651,TCGA-D8-A1XU,,
652,TCGA-S3-AA0Z,,
653,TCGA-A7-A0D9,,
654,TCGA-BH-A1F5,,
655,TCGA-A7-A26G,,
656,TCGA-A2-A0YL,,
657,TCGA-D8-A140,,
658,TCGA-EW-A1IZ,,
659,TCGA-A2-A1G0,,
660,TCGA-A8-A07L,,
661,TCGA-A7-A4SE,,
662,TCGA-B6-A0WY,,
663,TCGA-D8-A1XA,,
664,TCGA-BH-A0AU,,
665,TCGA-4H-AAAK,,
666,TCGA-AR-A1AR,,
667,TCGA-GI-A2C8,,
668,TCGA-A8-A06Y,,
669,TCGA-AR-A0U4,,
670,TCGA-E2-A15A,,
671,TCGA-A7-A0CH,,
672,TCGA-EW-A1OY,,
673,TCGA-D8-A73U,,
674,TCGA-A8-A09R,,
675,TCGA-AC-A5XS,,
676,TCGA-AC-A7VB,,
677,TCGA-AR-A1AP,,
678,TCGA-D8-A73X,,
679,TCGA-A2-A1FV,,
680,TCGA-AR-A1AN,,
681,TCGA-D8-A27K,,
682,TCGA-D8-A1X9,,
683,TCGA-BH-A0B9,,
684,TCGA-C8-A26X,,
685,TCGA-D8-A1JI,,
686,TCGA-BH-A1EO,,
687,TCGA-D8-A1XF,,
688,TCGA-E2-A14P,,
689,TCGA-BH-A0DL,,
690,TCGA-OL-A66K,,
691,TCGA-EW-A2FS,,
692,TCGA-BH-A0C0,,
693,TCGA-OK-A5Q2,,
